iter	Passed	Remaining
0	139	138930
1	139	69803
2	140	46751
3	141	35196
4	142	28258
5	142	23630
6	143	20326
7	143	17853
8	144	15925
9	145	14405
10	146	13147
11	146	12093
12	147	11205
13	148	10443
14	148	9780
15	149	9199
16	150	8686
17	151	8248
18	151	7842
19	152	7491
20	153	7169
21	154	6867
22	155	6590
23	155	6335
24	156	6118
25	157	5902
26	158	5701
27	158	5516
28	159	5344
29	160	5182
30	160	5030
31	161	4887
32	162	4770
33	163	4645
34	164	4526
35	164	4413
36	165	4306
37	166	4205
38	166	4111
39	168	4032
40	168	3945
41	169	3864
42	170	3785
43	170	3711
44	171	3639
45	172	3570
46	172	3506
47	173	3445
48	174	3384
49	175	3325
50	175	3269
51	176	3215
52	177	3163
53	177	3113
54	178	3069
55	179	3022
56	179	2976
57	180	2933
58	181	2892
59	182	2855
60	183	2820
61	184	2785
62	184	2748
63	185	2713
64	186	2678
65	186	2644
66	187	2610
67	187	2574
68	188	2542
69	189	2515
70	190	2486
71	190	2457
72	191	2429
73	191	2402
74	192	2375
75	193	2349
76	193	2324
77	194	2299
78	195	2277
79	196	2254
80	196	2231
81	197	2209
82	197	2187
83	198	2165
84	198	2142
85	199	2121
86	200	2100
87	200	2081
88	201	2062
89	202	2044
90	202	2025
91	203	2008
92	204	1990
93	204	1973
94	205	1956
95	206	1941
96	206	1925
97	207	1909
98	208	1893
99	208	1878
100	209	1863
101	209	1847
102	210	1833
103	211	1821
104	212	1808
105	212	1794
106	213	1781
107	214	1768
108	214	1755
109	215	1742
110	216	1729
111	216	1720
112	217	1709
113	218	1697
114	219	1685
115	219	1673
116	220	1661
117	220	1650
118	221	1638
119	222	1628
120	222	1618
121	223	1608
122	223	1595
123	224	1587
124	225	1577
125	225	1567
126	226	1557
127	227	1546
128	228	1539
129	228	1530
130	229	1521
131	229	1512
132	230	1503
133	231	1494
134	231	1485
135	232	1477
136	233	1470
137	233	1460
138	234	1452
139	235	1444
140	235	1437
141	236	1429
142	237	1421
143	237	1413
144	238	1408
145	239	1401
146	240	1394
147	240	1386
148	241	1379
149	242	1372
150	242	1365
151	243	1357
152	244	1352
153	244	1345
154	245	1338
155	246	1331
156	246	1325
157	247	1318
158	248	1311
159	248	1305
160	249	1299
161	250	1293
162	250	1287
163	251	1281
164	252	1275
165	252	1269
166	253	1263
167	254	1258
168	254	1252
169	255	1247
170	256	1241
171	256	1235
172	257	1230
173	257	1224
174	258	1219
175	259	1213
176	259	1208
177	260	1204
178	261	1199
179	262	1194
180	262	1187
181	263	1182
182	263	1177
183	264	1172
184	264	1167
185	265	1163
186	266	1158
187	267	1153
188	267	1149
189	268	1145
190	269	1140
191	269	1136
192	270	1131
193	271	1128
194	272	1123
195	272	1119
196	273	1114
197	274	1110
198	274	1105
199	275	1101
200	276	1097
201	276	1093
202	277	1089
203	278	1085
204	278	1081
205	279	1076
206	280	1072
207	280	1068
208	281	1064
209	283	1066
210	284	1064
211	285	1062
212	286	1059
213	288	1059
214	289	1055
215	289	1052
216	290	1048
217	291	1044
218	291	1040
219	292	1036
220	293	1034
221	294	1031
222	294	1027
223	295	1025
224	296	1021
225	297	1017
226	297	1014
227	298	1011
228	299	1008
229	300	1004
230	300	1001
231	301	997
232	302	994
233	302	990
234	303	987
235	304	985
236	304	981
237	305	978
238	306	975
239	306	971
240	307	968
241	308	965
242	308	961
243	309	959
244	310	957
245	311	954
246	312	952
247	312	948
248	313	945
249	314	942
250	315	940
251	315	937
252	316	934
253	317	931
254	317	928
255	318	925
256	318	922
257	319	919
258	320	916
259	321	914
260	322	912
261	322	909
262	323	906
263	324	903
264	324	901
265	326	899
266	326	897
267	327	894
268	328	892
269	328	889
270	329	886
271	330	884
272	331	882
273	332	879
274	332	877
275	333	874
276	333	871
277	334	869
278	335	866
279	335	863
280	336	861
281	337	859
282	338	856
283	338	853
284	339	851
285	340	849
286	340	846
287	341	844
288	342	843
289	343	840
290	344	838
291	344	836
292	345	833
293	346	831
294	346	828
295	347	826
296	348	824
297	349	822
298	349	819
299	350	817
300	350	814
301	351	812
302	352	810
303	352	807
304	353	806
305	354	803
306	355	801
307	355	799
308	356	797
309	357	794
310	357	792
311	358	790
312	359	788
313	359	786
314	360	783
315	361	781
316	361	779
317	362	777
318	363	775
319	363	772
320	364	771
321	365	768
322	365	766
323	366	764
324	367	762
325	367	760
326	368	758
327	369	756
328	370	754
329	370	752
330	371	750
331	371	748
332	372	746
333	373	744
334	373	742
335	374	740
336	375	738
337	376	736
338	376	734
339	377	732
340	377	730
341	378	728
342	379	726
343	379	724
344	380	722
345	381	720
346	382	719
347	383	718
348	384	716
349	385	715
350	386	713
351	386	712
352	387	710
353	388	709
354	389	707
355	390	705
356	390	703
357	391	702
358	392	700
359	393	698
360	393	696
361	394	695
362	394	693
363	395	691
364	396	689
365	397	688
366	397	686
367	398	684
368	399	682
369	399	681
370	400	679
371	401	677
372	401	675
373	402	674
374	403	672
375	404	670
376	404	668
377	405	666
378	405	665
379	406	663
380	407	661
381	408	660
382	408	658
383	409	656
384	409	654
385	410	653
386	411	651
387	412	650
388	412	648
389	413	647
390	414	645
391	415	643
392	415	642
393	416	640
394	416	638
395	417	636
396	418	635
397	419	634
398	419	632
399	420	630
400	421	629
401	421	627
402	422	625
403	423	624
404	423	622
405	424	621
406	425	619
407	426	618
408	426	616
409	427	615
410	428	613
411	428	611
412	429	610
413	430	608
414	430	607
415	431	605
416	432	604
417	432	602
418	433	600
419	434	599
420	434	597
421	435	596
422	436	595
423	436	593
424	437	592
425	438	590
426	438	588
427	440	588
428	441	587
429	442	586
430	442	584
431	443	583
432	444	581
433	444	580
434	445	578
435	446	577
436	446	575
437	447	574
438	448	572
439	448	571
440	449	569
441	450	568
442	450	566
443	451	565
444	452	564
445	452	562
446	453	561
447	454	560
448	455	558
449	455	557
450	456	555
451	457	554
452	458	553
453	458	551
454	459	550
455	460	548
456	460	547
457	461	545
458	462	544
459	462	543
460	463	541
461	464	540
462	464	539
463	465	537
464	466	536
465	466	534
466	467	533
467	468	532
468	469	531
469	469	529
470	470	528
471	470	526
472	471	525
473	472	524
474	472	522
475	473	521
476	474	520
477	475	518
478	475	517
479	476	516
480	476	514
481	477	513
482	478	511
483	478	510
484	479	509
485	480	508
486	481	506
487	481	505
488	482	504
489	483	503
490	484	502
491	485	501
492	486	500
493	486	498
494	487	497
495	488	496
496	488	494
497	489	493
498	490	492
499	491	491
500	491	489
501	492	488
502	492	487
503	493	485
504	494	484
505	494	483
506	495	482
507	496	480
508	497	479
509	497	478
510	498	477
511	499	475
512	499	474
513	500	473
514	501	472
515	502	470
516	502	469
517	503	468
518	504	467
519	504	465
520	505	464
521	505	463
522	506	462
523	507	460
524	508	459
525	508	458
526	509	457
527	509	455
528	510	454
529	511	453
530	512	452
531	512	451
532	513	449
533	514	448
534	514	447
535	515	446
536	516	444
537	516	443
538	517	442
539	518	441
540	518	440
541	519	438
542	520	437
543	520	436
544	521	435
545	522	434
546	523	433
547	524	432
548	524	431
549	525	429
550	526	428
551	526	427
552	527	426
553	528	425
554	529	424
555	529	422
556	530	421
557	530	420
558	531	419
559	532	418
560	532	416
561	533	415
562	534	414
563	535	413
564	535	412
565	536	411
566	536	410
567	537	408
568	538	407
569	538	406
570	540	405
571	540	404
572	541	403
573	542	402
574	542	401
575	543	400
576	544	398
577	544	397
578	545	396
579	546	395
580	546	394
581	547	393
582	548	392
583	548	390
584	549	389
585	550	388
586	550	387
587	551	386
588	552	385
589	552	384
590	553	383
591	554	382
592	555	380
593	555	379
594	556	378
595	557	377
596	557	376
597	558	375
598	559	374
599	559	373
600	560	371
601	560	370
602	561	369
603	562	368
604	563	367
605	563	366
606	564	365
607	565	364
608	565	363
609	566	362
610	567	361
611	567	360
612	568	358
613	569	357
614	569	356
615	570	355
616	571	354
617	571	353
618	572	352
619	573	351
620	574	350
621	574	349
622	575	348
623	575	347
624	576	345
625	577	344
626	577	343
627	578	342
628	579	341
629	579	340
630	580	339
631	581	338
632	581	337
633	582	336
634	584	335
635	584	334
636	585	333
637	586	332
638	586	331
639	587	330
640	588	329
641	588	328
642	589	327
643	590	326
644	590	325
645	591	324
646	592	323
647	592	322
648	593	320
649	594	319
650	594	318
651	595	317
652	596	316
653	597	315
654	597	314
655	598	313
656	599	312
657	600	312
658	601	310
659	601	309
660	602	308
