iter	Passed	Remaining
0	141	141460
1	142	71226
2	145	48295
3	146	36512
4	147	29445
5	149	24791
6	151	21437
7	152	18877
8	153	16881
9	155	15348
10	156	14044
11	157	12947
12	158	12019
13	159	11265
14	161	10597
15	162	9990
16	163	9456
17	165	9005
18	166	8593
19	167	8206
20	169	7880
21	174	7743
22	175	7472
23	177	7205
24	178	6952
25	182	6831
26	183	6629
27	185	6450
28	189	6328
29	194	6298
30	197	6177
31	198	6010
32	200	5867
33	202	5762
34	203	5620
35	204	5487
36	206	5363
37	208	5288
38	209	5172
39	210	5062
40	212	4961
41	213	4879
42	215	4794
43	216	4714
44	218	4628
45	221	4595
46	222	4515
47	223	4436
48	225	4379
49	227	4317
50	228	4247
51	230	4194
52	232	4145
53	233	4091
54	234	4034
55	236	3988
56	237	3931
57	238	3877
58	239	3824
59	241	3783
60	242	3735
61	243	3689
62	245	3646
63	247	3617
64	248	3573
65	249	3530
66	250	3489
67	251	3447
68	253	3423
69	254	3384
70	255	3347
71	258	3327
72	259	3293
73	260	3257
74	261	3221
75	263	3199
76	264	3166
77	264	3131
78	266	3106
79	267	3074
80	268	3046
81	269	3016
82	269	2981
83	270	2955
84	273	2943
85	274	2918
86	275	2892
87	276	2868
88	280	2869
89	282	2857
90	286	2858
91	287	2834
92	288	2811
93	290	2803
94	291	2781
95	292	2759
96	295	2750
97	297	2736
98	298	2719
99	302	2718
100	303	2697
101	304	2677
102	306	2672
103	307	2652
104	309	2634
105	310	2617
106	312	2611
107	314	2594
108	315	2575
109	316	2557
110	318	2548
111	319	2530
112	320	2512
113	321	2494
114	322	2483
115	323	2467
116	324	2447
117	326	2441
118	328	2434
119	329	2419
120	330	2403
121	331	2385
122	332	2370
123	335	2368
124	336	2353
125	337	2337
126	337	2321
127	340	2317
128	341	2305
129	342	2291
130	343	2277
131	346	2281
132	348	2273
133	352	2276
134	353	2262
135	353	2248
136	358	2255
137	359	2244
138	360	2232
139	364	2236
140	365	2223
141	365	2208
142	366	2195
143	369	2198
144	370	2187
145	375	2195
146	376	2183
147	377	2171
148	377	2158
149	379	2149
150	380	2138
151	381	2130
152	385	2133
153	386	2125
154	387	2113
155	390	2112
156	391	2101
157	392	2090
158	393	2079
159	396	2079
160	396	2067
161	397	2057
162	398	2047
163	401	2045
164	402	2035
165	403	2025
166	404	2015
167	406	2014
168	407	2004
169	408	1994
170	409	1985
171	412	1987
172	413	1977
173	414	1969
174	418	1971
175	419	1962
176	420	1953
177	420	1944
178	423	1942
179	424	1933
180	425	1924
181	426	1915
